BD135193,4,10,3,3,1,7,5,9,4,4,1,0,2,1,2,1,6,4,1,1,4,9,1,6,7,4,0,1,3,7,6,6,4,6,1,2,1,6,0,4,0,2,0,0,0,0,0,0,2,5,1,5,1,1,2,1,1,5,2,0,3,0,0,0,8,7,2,1,5,4,2,6,1,4,0,0,4,0,3,1,8,8,0,4,7,13,5,5,3,6,4,0,4,6,3,5,2,4,5,3,4,7,3,5,1,2,1,0,0,0,0,1,5,0,3,3,6,5,4,3,5,5,3,0,7,6,2,2,4,2,1,1,3,7,4,3,5,1,1,0,3,1,1,1,2,1,3,2,7,7,6,5,3,2,0,0,2,4,4,2,2,2,0,1,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,3,1,3,2,1,4,3,2,0,0,4,3,2,0,2,4,1,1,2,1,1,3,1,7,0,0,2,1,0,4,0,5,1,0,1,5,2,3,2,4,1,0,0,0,0,0,4,5,1,1,1,1,2,3,0,1,2,0,0,1,1,0
NM_004359,0,0,1,1,0,0,0,0,3,1,1,3,4,2,1,7,0,0,2,0,0,0,2,0,1,5,2,2,0,2,0,0,1,2,4,2,4,1,1,3,6,3,5,0,8,3,4,4,1,1,4,6,2,1,0,2,2,1,3,2,6,6,2,6,0,0,1,0,1,0,1,0,3,5,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,2,0,0,0,0,2,1,0,3,3,2,5,0,3,5,2,3,2,0,1,3,3,2,3,1,2,0,0,3,1,0,2,1,7,1,3,2,1,0,3,7,1,1,6,0,1,1,6,2,5,0,1,4,1,1,8,0,0,1,4,0,3,2,7,1,3,0,3,4,5,5,5,2,2,2,6,4,7,3,7,3,2,1,3,4,0,1,5,8,0,0,1,7,2,1,6,3,2,3,4,5,1,0,3,6,0,1,3,2,2,2,6,10,3,3,6,10,0,1,3,0,0,0,2,0,1,0,1,1,6,3,1,9,2,0,1,3,1,0,1,3,1,3,6,4,2,4,4,3,6,2,8,7,0,1,2,7,1,3,3,7,8,0,5,6
NM_003340,1,1,3,1,1,4,0,3,4,0,2,0,2,1,1,2,1,4,0,0,2,6,3,2,3,1,3,0,3,3,0,2,6,0,0,6,1,0,0,1,1,2,3,0,0,0,0,1,1,3,2,2,1,2,0,2,2,0,2,0,0,2,1,0,2,2,2,2,1,3,3,3,2,0,1,0,0,1,0,0,2,3,1,0,4,4,3,3,4,5,1,0,1,2,2,2,2,3,2,0,3,2,1,1,5,1,0,0,1,0,1,0,0,2,3,0,1,3,1,1,3,2,1,0,0,1,2,2,3,4,1,3,1,5,1,0,3,1,1,1,5,3,3,1,4,2,2,1,0,3,1,0,0,0,0,1,0,0,3,0,2,2,2,4,4,1,0,1,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2,1,3,2,3,1,2,0,1,0,0,0,1,1,0,0,0,1,3,2,0,1,1,1,1,1,1,1,1,2,2,2,1,1,0,0,2,1,1,0,0,0,0,1,0,2,1,0,0,1,2,1,2,0,0,1,2,0,0,1
NM_003337,4,3,5,2,5,2,2,3,7,2,2,1,4,0,2,1,1,6,0,2,0,3,1,1,3,3,5,1,3,4,4,3,4,3,1,2,1,1,0,1,4,2,1,1,1,0,0,0,6,2,0,2,1,2,3,2,2,1,2,1,2,1,1,1,2,1,2,0,1,1,6,4,1,1,0,0,2,1,2,1,2,3,1,2,4,5,4,2,4,2,0,1,2,1,0,1,2,3,0,4,1,2,1,3,5,2,0,0,1,0,0,1,5,2,0,1,2,4,1,2,2,2,0,1,4,2,1,1,5,2,3,2,2,1,4,2,1,0,4,0,2,5,3,2,1,1,0,1,1,3,2,0,1,1,0,0,3,2,1,1,6,2,2,3,1,2,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,3,6,2,3,1,1,0,5,1,0,2,0,2,2,0,1,1,2,1,1,3,4,0,1,1,1,2,0,0,2,0,3,0,1,2,3,0,1,0,2,3,0,0,0,0,0,1,2,2,2,3,1,2,2,0,1,1,0,1,1,2,1,0,0
NM_003969,0,0,2,0,0,1,0,1,4,2,3,3,4,2,2,7,3,1,0,0,0,1,0,1,2,2,4,1,2,0,1,2,4,4,0,0,0,2,1,2,1,4,4,1,3,3,0,0,6,1,3,4,1,2,2,2,4,4,2,1,7,3,2,4,2,1,0,1,0,0,3,1,2,1,1,1,0,0,0,0,1,1,2,0,2,1,0,3,2,3,0,0,2,1,0,1,3,1,1,4,2,2,2,2,5,5,1,0,1,0,0,3,3,3,1,3,0,2,1,3,3,0,2,2,2,2,2,2,0,1,6,7,2,1,3,2,0,1,3,0,8,3,6,1,0,1,3,0,1,1,4,1,4,1,4,1,3,2,5,2,5,2,2,4,1,1,5,4,5,0,5,2,1,0,2,1,0,1,1,3,0,0,2,2,3,1,0,0,1,0,7,2,0,0,4,7,2,0,3,1,2,1,3,2,2,2,3,8,0,1,0,0,1,3,1,0,1,2,3,2,3,3,1,3,2,1,1,9,1,2,2,4,2,2,2,1,0,1,2,6,2,1,3,5,0,1,3,3,3,4,3,6,1,2,5,1
XM_371822,1,8,1,5,4,1,4,10,5,6,7,7,10,2,16,9,2,2,3,0,0,2,2,4,18,11,11,7,13,8,13,10,19,7,9,10,8,8,4,7,13,19,10,4,1,8,6,8,15,7,6,6,3,6,3,3,10,10,15,7,14,6,9,5,2,1,0,1,0,1,4,7,13,7,7,4,2,0,1,1,0,1,1,0,1,2,4,10,13,12,14,4,9,3,3,5,9,21,14,14,5,19,11,13,12,22,7,6,2,6,4,7,10,7,6,13,5,4,8,16,11,25,19,8,16,14,14,10,7,7,16,13,0,5,33,14,13,7,22,9,10,6,14,13,1,6,21,1,0,10,29,3,18,17,15,7,8,14,36,21,11,18,16,10,11,10,27,26,17,11,14,4,5,7,5,4,2,2,2,6,2,1,11,11,4,7,12,2,3,3,9,9,5,3,8,18,3,1,6,13,14,7,10,3,12,7,11,10,1,3,6,3,1,3,8,3,9,8,7,1,6,8,11,18,4,6,12,9,5,5,15,33,13,22,15,7,4,4,10,5,7,7,20,15,3,4,4,13,6,16,11,6,16,1,7,14
AY044845,1,0,0,2,0,0,1,1,1,2,1,1,0,1,4,5,0,0,2,0,0,0,1,4,0,1,3,2,3,4,3,4,1,3,6,3,0,2,2,4,2,5,3,4,0,2,2,2,4,2,2,4,1,1,0,6,4,7,6,1,7,3,7,12,0,0,0,0,0,0,0,3,1,1,4,1,1,1,1,2,0,0,0,0,0,1,2,1,1,1,4,4,0,1,2,6,2,1,0,4,0,0,2,6,3,4,5,2,2,2,1,3,2,2,2,5,2,2,4,6,7,3,8,3,8,5,11,13,1,1,2,2,2,1,1,5,7,4,6,1,7,5,8,11,0,3,3,1,0,2,4,2,0,4,4,1,3,7,10,19,1,2,2,11,4,4,4,13,6,8,4,5,3,5,4,5,0,3,1,4,0,1,5,3,2,3,2,0,1,3,6,4,1,1,3,6,0,4,4,4,4,1,3,3,4,1,5,11,0,0,2,4,0,1,3,2,6,2,3,1,5,3,6,8,2,3,10,13,3,2,1,16,5,8,11,6,3,0,0,4,5,5,6,8,3,2,3,7,15,9,14,3,8,4,17,13
NM_015213,20,14,9,19,7,10,11,23,19,15,7,3,28,20,24,17,11,6,9,0,10,14,18,19,19,14,17,7,30,22,22,25,20,28,15,12,8,16,14,23,26,16,12,3,8,4,1,1,27,23,21,27,9,17,10,15,26,23,24,5,34,6,16,14,5,3,2,9,4,6,7,18,14,15,14,4,6,2,2,4,2,9,11,5,8,11,19,23,26,13,24,3,19,13,18,14,19,16,23,21,10,12,20,20,23,26,22,5,2,3,2,11,21,28,18,26,9,11,23,21,25,20,32,7,38,10,18,20,18,17,17,26,8,26,20,27,21,18,17,2,33,17,26,25,6,13,14,4,4,19,21,16,20,21,23,4,29,20,31,29,22,18,12,40,12,18,19,35,22,22,20,8,5,4,5,16,2,4,3,8,6,3,3,4,1,6,4,0,14,3,7,9,19,17,16,35,7,19,19,31,21,13,19,5,31,12,26,24,0,7,13,5,5,17,8,6,14,14,12,3,15,9,13,18,17,19,9,28,7,14,15,31,21,20,18,14,2,5,3,5,37,21,16,32,1,5,7,15,21,18,13,3,20,9,14,13
NM_003347,9,2,6,2,1,3,3,1,3,3,4,0,3,1,2,4,1,1,1,1,1,2,2,2,3,1,2,2,4,0,0,0,2,3,0,0,0,3,1,2,3,1,5,3,1,0,0,0,2,2,0,1,3,0,1,1,4,2,3,0,1,2,0,3,2,3,1,2,0,2,1,1,0,1,1,0,0,1,2,0,1,2,0,1,2,0,1,0,2,1,3,1,2,1,0,1,2,1,2,1,2,0,0,3,4,1,1,1,2,0,0,1,4,2,4,1,1,1,1,0,0,0,2,0,1,1,1,1,4,0,3,2,2,2,2,0,1,1,3,0,2,2,3,2,2,1,0,1,1,1,3,1,1,1,1,0,4,2,1,2,3,2,1,6,1,1,2,2,3,2,2,1,3,2,1,0,4,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,4,3,0,4,1,0,2,2,1,1,4,1,0,1,2,0,4,0,1,0,0,0,1,1,0,2,1,0,1,0,1,0,2,0,2,2,1,2,0,2,2,2,0,1,0,0,0,0,1,1,1,1,0,1,1,1,2,2,0,0,2,0,3,1
NM_003344,2,5,2,3,5,4,2,2,4,2,1,0,4,2,2,2,2,3,3,2,2,3,1,2,1,3,5,2,6,2,0,3,2,3,1,3,0,2,0,1,4,3,2,2,1,0,2,1,5,2,0,4,3,3,1,2,1,2,1,1,6,1,2,1,4,3,1,0,2,2,1,4,2,0,5,2,3,1,0,1,3,2,2,1,1,2,2,2,2,0,2,0,2,1,0,2,3,3,0,2,3,1,3,0,4,5,1,0,1,0,0,1,6,3,1,2,3,0,1,2,1,0,1,0,4,1,1,1,2,2,1,2,2,1,5,3,1,0,2,1,3,1,3,2,1,3,1,1,2,1,1,1,4,3,2,0,2,1,2,1,2,5,3,2,3,2,3,3,2,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,2,1,0,2,0,0,1,4,3,3,5,1,1,3,2,2,1,3,1,1,5,0,5,2,1,3,1,3,1,0,0,1,1,1,0,2,2,0,1,0,0,0,2,0,0,3,2,2,2,0,0,0,1,1,1,4,1,5,4,1,1,0,1,0,0,1,2,2,1,0,1
