T1,EGFP,-1.1,-2.11,-3.26,-2.24,-2.11,-2.35,-2.08,-3.42,-2.11,-0.93,-2.08,-3.26,-3.26,-3.42,-2.36,-2.35,-2.08,-3.26,-38.81,-12.94,9.75,0.93
T2,EGFP,-2.11,-3.26,-2.24,-2.11,-2.35,-2.08,-3.42,-2.11,-0.93,-2.08,-3.26,-3.26,-3.42,-2.36,-2.35,-2.08,-3.26,-2.35,-40.51,-14.14,9.75,0.93
T3,EGFP,-3.26,-2.24,-2.11,-2.35,-2.08,-3.42,-2.11,-0.93,-2.08,-3.26,-3.26,-3.42,-2.36,-2.35,-2.08,-3.26,-2.35,-2.08,-40.48,-14.17,9.75,0.9
T4,EGFP,-2.24,-2.11,-2.35,-2.08,-3.42,-2.11,-0.93,-2.08,-3.26,-3.26,-3.42,-2.36,-2.35,-2.08,-3.26,-2.35,-2.08,-3.42,-40.63999999999999,-10.71,9.73,1.08
T5,EGFP,-2.11,-2.35,-2.08,-3.42,-2.11,-0.93,-2.08,-3.26,-3.26,-3.42,-2.36,-2.35,-2.08,-3.26,-2.35,-2.08,-3.42,-2.08,-40.03,-9.11,9.48,2.22
T6,EGFP,-2.35,-2.08,-3.42,-2.11,-0.93,-2.08,-3.26,-3.26,-3.42,-2.36,-2.35,-2.08,-3.26,-2.35,-2.08,-3.42,-2.08,-2.11,-40.48,-8.96,9.48,2.57
T7,EGFP,-2.08,-3.42,-2.11,-0.93,-2.08,-3.26,-3.26,-3.42,-2.36,-2.35,-2.08,-3.26,-2.35,-2.08,-3.42,-2.08,-2.11,-2.24,-39.46999999999999,-8.8,0.18,2.61
T8,EGFP,-3.42,-2.11,-0.93,-2.08,-3.26,-3.26,-3.42,-2.36,-2.35,-2.08,-3.26,-2.35,-2.08,-3.42,-2.08,-2.11,-2.24,-0.93,-38.77,-7.99,0.18,3.83
T9,EGFP,-2.11,-0.93,-2.08,-3.26,-3.26,-3.42,-2.36,-2.35,-2.08,-3.26,-2.35,-2.08,-3.42,-2.08,-2.11,-2.24,-0.93,-2.35,-38.15,-7.79,0.18,4.03
T10,EGFP,-0.93,-2.08,-3.26,-3.26,-3.42,-2.36,-2.35,-2.08,-3.26,-2.35,-2.08,-3.42,-2.08,-2.11,-2.24,-0.93,-2.35,-2.11,-37.7,-7.98,0.18,3.83
T11,EGFP,-2.08,-3.26,-3.26,-3.42,-2.36,-2.35,-2.08,-3.26,-2.35,-2.08,-3.42,-2.08,-2.11,-2.24,-0.93,-2.35,-2.11,-2.24,-39.01,-8.71,0.18,3.1
T12,EGFP,-3.26,-3.26,-3.42,-2.36,-2.35,-2.08,-3.26,-2.35,-2.08,-3.42,-2.08,-2.11,-2.24,-0.93,-2.35,-2.11,-2.24,-3.26,-40.63999999999999,-9.09,5.23,3.41
T13,EGFP,-3.26,-3.42,-2.36,-2.35,-2.08,-3.26,-2.35,-2.08,-3.42,-2.08,-2.11,-2.24,-0.93,-2.35,-2.11,-2.24,-3.26,-2.36,-39.74,-9.78,5.23,4.22
T14,EGFP,-3.42,-2.36,-2.35,-2.08,-3.26,-2.35,-2.08,-3.42,-2.08,-2.11,-2.24,-0.93,-2.35,-2.11,-2.24,-3.26,-2.36,-3.26,-39.74,-9.57,6.7,2.55
T15,EGFP,-2.36,-2.35,-2.08,-3.26,-2.35,-2.08,-3.42,-2.08,-2.11,-2.24,-0.93,-2.35,-2.11,-2.24,-3.26,-2.36,-3.26,-3.26,-39.57999999999999,-12.38,7.14,2.4
T16,EGFP,-2.35,-2.08,-3.26,-2.35,-2.08,-3.42,-2.08,-2.11,-2.24,-0.93,-2.35,-2.11,-2.24,-3.26,-2.36,-3.26,-3.26,-3.26,-40.48,-16.55,7.14,1.14
T17,EGFP,-2.08,-3.26,-2.35,-2.08,-3.42,-2.08,-2.11,-2.24,-0.93,-2.35,-2.11,-2.24,-3.26,-2.36,-3.26,-3.26,-3.26,-2.24,-39.46999999999999,-18.26,7.14,0.93
T18,EGFP,-3.26,-2.35,-2.08,-3.42,-2.08,-2.11,-2.24,-0.93,-2.35,-2.11,-2.24,-3.26,-2.36,-3.26,-3.26,-3.26,-2.24,-2.11,-40.4,-21.19,7.15,1.1
T19,EGFP,-2.35,-2.08,-3.42,-2.08,-2.11,-2.24,-0.93,-2.35,-2.11,-2.24,-3.26,-2.36,-3.26,-3.26,-3.26,-2.24,-2.11,-3.26,-40.399999999999984,-21.44,7.15,1.72
T20,EGFP,-2.08,-3.42,-2.08,-2.11,-2.24,-0.93,-2.35,-2.11,-2.24,-3.26,-2.36,-3.26,-3.26,-3.26,-2.24,-2.11,-3.26,-2.24,-39.38999999999999,-20.09,7.09,2.22
T21,EGFP,-3.42,-2.08,-2.11,-2.24,-0.93,-2.35,-2.11,-2.24,-3.26,-2.36,-3.26,-3.26,-3.26,-2.24,-2.11,-3.26,-2.24,-2.11,-40.31999999999999,-18.65,7.09,3.86
